IA category,Subcategory,Sub-subcategory,Page,Current URL,Final URL,Original backend source,New backend source,Platform specific,Version switcher,Classic or Samsara?,Samsara-related,New or existing?,Update/Needed for preview launch?,Deprecation path,Notes
Getting started,Tutorial,N/A,Introduction,https://docs.amplify.aws/start/q/integration/android/,https://docs.amplify.aws/android/start/getting-started/introduction/,src/pages/start/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/introduction/index.mdx,Android,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established ; may consider removing start before getting-started
Getting started,Tutorial,N/A,Set up Amplify,https://docs.amplify.aws/start/getting-started/installation/q/integration/android/,https://docs.amplify.aws/android/start/getting-started/installation,src/pages/start/getting-started/installation/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/installation/index.mdx,Android,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up fullstack project,https://docs.amplify.aws/start/getting-started/setup/q/integration/android/,https://docs.amplify.aws/android/start/getting-started/setup/,src/pages/start/getting-started/setup/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/setup/index.mdx,Android,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Generate model files,https://docs.amplify.aws/start/getting-started/generate-model/q/integration/android/,https://docs.amplify.aws/android/start/getting-started/generate-model/,src/pages/start/getting-started/generate-model/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/generate-model/index.mdx,Android,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Integrate your app,https://docs.amplify.aws/start/getting-started/integrate/q/integration/android/,https://docs.amplify.aws/android/start/getting-started/integrate/,src/pages/start/getting-started/integrate/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/integrate/index.mdx,Android,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Connect to the cloud,https://docs.amplify.aws/start/getting-started/add-api/q/integration/android/,https://docs.amplify.aws/android/start/getting-started/add-api/,src/pages/start/getting-started/add-api/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/add-api/index.mdx,Android,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Next steps,https://docs.amplify.aws/start/getting-started/nextsteps/q/integration/android/,https://docs.amplify.aws/android/start/getting-started/nextsteps/,src/pages/start/getting-started/nextsteps/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/nextsteps/index.mdx,Android,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Introduction,https://docs.amplify.aws/start/q/integration/angular/,https://docs.amplify.aws/angular/start/getting-started/introduction/,src/pages/start/q/integration/,src/pages/[platform]/start/getting-started/introduction/index.mdx,Angular,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up Amplify,https://docs.amplify.aws/start/getting-started/installation/q/integration/angular/,https://docs.amplify.aws/angular/start/getting-started/installation/,src/pages/start/getting-started/installation/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/installation/index.mdx,Angular,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up fullstack project,https://docs.amplify.aws/start/getting-started/setup/q/integration/angular/,https://docs.amplify.aws/angular/start/getting-started/setup/,src/pages/start/getting-started/setup/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/setup/index.mdx,Angular,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Connect API and database to the app,https://docs.amplify.aws/start/getting-started/data-model/q/integration/angular/,https://docs.amplify.aws/angular/start/getting-started/data-model/,src/pages/start/getting-started/data-model/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/data-model/index.mdx,Angular,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Add authentication,https://docs.amplify.aws/start/getting-started/auth/q/integration/angular/,https://docs.amplify.aws/angular/start/getting-started/auth/,src/pages/start/getting-started/auth/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/auth/index.mdx,Angular,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Deploy and host app,https://docs.amplify.aws/start/getting-started/hosting/q/integration/angular/,https://docs.amplify.aws/angular/start/getting-started/hosting/,src/pages/start/getting-started/hosting/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/hosting/index.mdx,Angular,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Next steps,https://docs.amplify.aws/start/getting-started/nextsteps/q/integration/angular/,https://docs.amplify.aws/angular/start/getting-started/nextsteps/,src/pages/start/getting-started/nextsteps/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/nextsteps/index.mdx,Angular,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Introduction,https://docs.amplify.aws/start/q/integration/flutter/,https://docs.amplify.aws/flutter/start/getting-started/introduction/,src/pages/start/q/integration/,src/pages/[platform]/start/getting-started/introduction/index.mdx,Flutter,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up Amplify,https://docs.amplify.aws/start/getting-started/installation/q/integration/flutter/,https://docs.amplify.aws/flutter/start/getting-started/installation/,src/pages/start/getting-started/installation/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/installation/index.mdx,Flutter,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up fullstack project,https://docs.amplify.aws/start/getting-started/setup/q/integration/flutter/,https://docs.amplify.aws/flutter/start/getting-started/setup/,src/pages/start/getting-started/setup/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/setup/index.mdx,Flutter,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Generate model files,https://docs.amplify.aws/start/getting-started/generate-model/q/integration/flutter/,https://docs.amplify.aws/flutter/start/getting-started/generate-model/,src/pages/start/getting-started/generate-model/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/generate-model/index.mdx,Flutter,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Integrate your app,https://docs.amplify.aws/start/getting-started/integrate/q/integration/flutter/,https://docs.amplify.aws/flutter/start/getting-started/integrate/,src/pages/start/getting-started/integrate/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/integrate/index.mdx,Flutter,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Next steps,https://docs.amplify.aws/start/getting-started/nextsteps/q/integration/flutter/,https://docs.amplify.aws/flutter/start/getting-started/nextsteps/,src/pages/start/getting-started/nextsteps/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/nextsteps/index.mdx,Flutter,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Introduction,https://docs.amplify.aws/start/q/integration/js/,https://docs.amplify.aws/javascript/start/getting-started/introduction/,src/pages/start/q/integration/,src/pages/[platform]/start/getting-started/introduction/index.mdx,JavaScript (web),No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up Amplify,https://docs.amplify.aws/start/getting-started/installation/q/integration/js/,https://docs.amplify.aws/javascript/start/getting-started/installation/,src/pages/start/getting-started/installation/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/installation/index.mdx,JavaScript (web),No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up fullstack project,https://docs.amplify.aws/start/getting-started/setup/q/integration/js/,https://docs.amplify.aws/javascript/start/getting-started/setup/,src/pages/start/getting-started/setup/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/setup/index.mdx,JavaScript (web),No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Connect API and database to the app,https://docs.amplify.aws/start/getting-started/data-model/q/integration/js/,https://docs.amplify.aws/javascript/start/getting-started/data-model/,src/pages/start/getting-started/data-model/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/data-model/index.mdx,JavaScript (web),No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Deploy and host app,https://docs.amplify.aws/start/getting-started/hosting/q/integration/js/,https://docs.amplify.aws/javascript/start/getting-started/hosting/,src/pages/start/getting-started/hosting/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/hosting/index.mdx,JavaScript (web),No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Next steps,https://docs.amplify.aws/start/getting-started/nextsteps/q/integration/js/,https://docs.amplify.aws/javascript/start/getting-started/nextsteps/,src/pages/start/getting-started/nextsteps/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/nextsteps/index.mdx,JavaScript (web),No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Introduction,https://docs.amplify.aws/start/q/integration/next/,https://docs.amplify.aws/nextjs/start/getting-started/introduction/,src/pages/start/q/integration/,src/pages/[platform]/start/index.mdx,Next.js,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up Amplify,https://docs.amplify.aws/start/getting-started/installation/q/integration/next/,https://docs.amplify.aws/nextjs/start/getting-started/installation/,src/pages/start/getting-started/installation/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/installation/index.mdx,Next.js,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up fullstack project,https://docs.amplify.aws/start/getting-started/setup/q/integration/next/,https://docs.amplify.aws/nextjs/start/getting-started/setup/,src/pages/start/getting-started/setup/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/setup/index.mdx,Next.js,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Connect API and database to the app,https://docs.amplify.aws/start/getting-started/data-model/q/integration/next/,https://docs.amplify.aws/nextjs/start/getting-started/data-model/,src/pages/start/getting-started/data-model/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/data-model/index.mdx,Next.js,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Deploy and host app,https://docs.amplify.aws/start/getting-started/hosting/q/integration/next/,https://docs.amplify.aws/nextjs/start/getting-started/hosting/,src/pages/start/getting-started/hosting/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/hosting/index.mdx,Next.js,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Next steps,https://docs.amplify.aws/start/getting-started/nextsteps/q/integration/next/,https://docs.amplify.aws/nextjs/start/getting-started/nextsteps/,src/pages/start/getting-started/nextsteps/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/nextsteps/index.mdx,Next.js,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Introduction,https://docs.amplify.aws/start/q/integration/ios/,https://docs.amplify.aws/ios/start/getting-started/introduction/,src/pages/start/q/integration/,src/pages/[platform]/start/getting-started/introduction/index.mdx,Swift,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up Amplify,https://docs.amplify.aws/start/getting-started/installation/q/integration/ios/,https://docs.amplify.aws/ios/start/getting-started/installation/,src/pages/start/getting-started/installation/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/installation/index.mdx,Swift,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up fullstack project,https://docs.amplify.aws/start/getting-started/setup/q/integration/ios/,https://docs.amplify.aws/ios/start/getting-started/setup/,src/pages/start/getting-started/setup/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/setup/index.mdx,Swift,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Generate model files,https://docs.amplify.aws/start/getting-started/generate-model/q/integration/ios/,https://docs.amplify.aws/ios/start/getting-started/generate-model/,src/pages/start/getting-started/generate-model/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/generate-model/index.mdx,Swift,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Integrate your app,https://docs.amplify.aws/start/getting-started/integrate/q/integration/ios/,https://docs.amplify.aws/ios/start/getting-started/integrate/,src/pages/start/getting-started/integrate/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/integrate/index.mdx,Swift,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Connect to the cloud,https://docs.amplify.aws/start/getting-started/add-api/q/integration/ios/,https://docs.amplify.aws/ios/start/getting-started/add-api/,src/pages/start/getting-started/add-api/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/add-api/index.mdx,Swift,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Next steps,https://docs.amplify.aws/start/getting-started/nextsteps/q/integration/ios/,https://docs.amplify.aws/ios/start/getting-started/nextsteps/,src/pages/start/getting-started/nextsteps/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/nextsteps/index.mdx,Swift,No,Classic,No,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Introduction,https://docs.amplify.aws/start/q/integration/react/,https://docs.amplify.aws/react/start/getting-started/introduction/,src/pages/start/q/integration/,src/pages/[platform]/start/getting-started/introduction/index.mdx,React,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up Amplify,https://docs.amplify.aws/start/getting-started/installation/q/integration/react/,https://docs.amplify.aws/react/start/getting-started/installation/,src/pages/start/getting-started/installation/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/installation/index.mdx,React,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up fullstack project,https://docs.amplify.aws/start/getting-started/setup/q/integration/react/,https://docs.amplify.aws/react/start/getting-started/setup/,src/pages/start/getting-started/setup/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/setup/index.mdx,React,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Connect API and database to the app,https://docs.amplify.aws/start/getting-started/data-model/q/integration/react/,https://docs.amplify.aws/react/start/getting-started/data-model/,src/pages/start/getting-started/data-model/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/data-model/index.mdx,React,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Add authentication,https://docs.amplify.aws/start/getting-started/auth/q/integration/react/,https://docs.amplify.aws/react/start/getting-started/auth/,src/pages/start/getting-started/auth/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/auth/index.mdx,React,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Deploy and host app,https://docs.amplify.aws/start/getting-started/hosting/q/integration/react/,https://docs.amplify.aws/react/start/getting-started/hosting/,src/pages/start/getting-started/hosting/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/hosting/index.mdx,React,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Next steps,https://docs.amplify.aws/start/getting-started/nextsteps/q/integration/react/,https://docs.amplify.aws/react/start/getting-started/nextsteps/,src/pages/start/getting-started/nextsteps/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/nextsteps/index.mdx,React,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Introduction,https://docs.amplify.aws/start/q/integration/react-native/,https://docs.amplify.aws/react-native/start/getting-started/introduction/,src/pages/start/q/integration/,src/pages/[platform]/start/getting-started/introduction/index.mdx,React Native,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up Amplify,https://docs.amplify.aws/start/getting-started/installation/q/integration/react-native/,https://docs.amplify.aws/react-native/start/getting-started/installation/,src/pages/start/getting-started/installation/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/installation/index.mdx,React Native,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up fullstack project,https://docs.amplify.aws/start/getting-started/setup/q/integration/react-native/,https://docs.amplify.aws/react-native/start/getting-started/setup/,src/pages/start/getting-started/setup/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/setup/index.mdx,React Native,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Connect API and database to the app,https://docs.amplify.aws/start/getting-started/data-model/q/integration/react-native/,https://docs.amplify.aws/react-native/start/getting-started/data-model/,src/pages/start/getting-started/data-model/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/data-model/index.mdx,React Native,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Add authentication,https://docs.amplify.aws/start/getting-started/auth/q/integration/react-native/,https://docs.amplify.aws/react-native/start/getting-started/auth/,src/pages/start/getting-started/auth/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/auth/index.mdx,React Native,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Next steps,https://docs.amplify.aws/start/getting-started/nextsteps/q/integration/react-native/,https://docs.amplify.aws/react-native/start/getting-started/nextsteps/,src/pages/start/getting-started/nextsteps/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/nextsteps/index.mdx,React Native,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Introduction,https://docs.amplify.aws/start/q/integration/vue/,https://docs.amplify.aws/vue/start/getting-started/introduction/,src/pages/start/q/integration/,src/pages/[platform]/start/getting-started/introduction/index.mdx,Vue,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up Amplify,https://docs.amplify.aws/start/getting-started/installation/q/integration/vue/,https://docs.amplify.aws/vue/start/getting-started/installation/,src/pages/start/getting-started/installation/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/installation/index.mdx,Vue,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Set up fullstack project,https://docs.amplify.aws/start/getting-started/setup/q/integration/vue/,https://docs.amplify.aws/vue/start/getting-started/setup/,src/pages/start/getting-started/setup/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/setup/index.mdx,Vue,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Connect API and database to the app,https://docs.amplify.aws/start/getting-started/data-model/q/integration/vue/,https://docs.amplify.aws/vue/start/getting-started/data-model/,src/pages/start/getting-started/data-model/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/data-model/index.mdx,Vue,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Add authentication,https://docs.amplify.aws/start/getting-started/auth/q/integration/vue/,https://docs.amplify.aws/vue/start/getting-started/auth/,src/pages/start/getting-started/auth/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/auth/index.mdx,Vue,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Deploy and host app,https://docs.amplify.aws/start/getting-started/hosting/q/integration/vue/,https://docs.amplify.aws/vue/start/getting-started/hosting/,src/pages/start/getting-started/hosting/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/hosting/index.mdx,Vue,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Tutorial,N/A,Next steps,https://docs.amplify.aws/start/getting-started/nextsteps/q/integration/vue/,https://docs.amplify.aws/vue/start/getting-started/nextsteps/,src/pages/start/getting-started/nextsteps/q/integration/[integration].mdx,src/pages/[platform]/start/getting-started/nextsteps/index.mdx,Vue,No,Classic,Yes,Existing,No,Yes,Will be deprecated once Samsara is in GA and migration path to Samsara is established
Getting started,Project setup,N/A,Set up Amplify prerequisites,https://docs.amplify.aws/lib/project-setup/prereq/q/platform/js/,https://docs.amplify.aws/javascript/prev/start/project-setup/prerequisites,src/pages/lib/project-setup/prereq/q/platform/[platform].mdx,src/pages/[platform]/prev/start/project-setup/prerequisites/index.mdx,JavaScript (web),v5,Classic,Yes,Existing,No,No,Currently this page serves all JS-friendly platforms ;  this should point to Samsara to highlight new way of starting for returning users.
Getting started,Project setup,N/A,Create your application,https://docs.amplify.aws/lib/project-setup/create-application/q/platform/js/,https://docs.amplify.aws/javascript/prev/start/project-setup/create-application,src/pages/lib/project-setup/create-application/q/platform/[platform].mdx,src/pages/[platform]/prev/start/project-setup/create-application/index.mdx,"Angular, JavaScript (web), Next.js, React, Vue",v5,Classic,Yes,Existing,No,No,"Currently this page serves all JS-friendly platforms ; Blockswitcher for Angular, NextJS, ReactJS, VueJS, and JavaScript ; this should point to Samsara to highlight new way of starting for returning users."
Getting started,Project setup,N/A,Set up Amplify prerequisites,https://docs.amplify.aws/lib-v1/project-setup/prereq/q/platform/js/,https://docs.amplify.aws/javascript/start/project-setup/prerequisites,src/pages/lib-v1/project-setup/prereq/q/platform/[platform].mdx,src/pages/[platform]/start/project-setup/prerequisites/index.mdx,JavaScript (web),v6,Classic,Yes,Existing,No,No,Currently this page serves all JS-friendly platforms ;  this should point to Samsara to highlight new way of starting for returning users.
Getting started,Project setup,N/A,Create your application,https://docs.amplify.aws/lib-v1/project-setup/create-application/q/platform/js/,https://docs.amplify.aws/javascript/start/project-setup/create-application,src/pages/lib-v1/project-setup/create-application/q/platform/[platform].mdx,src/pages/[platform]/start/project-setup/create-application/index.mdx,"Angular, JavaScript (web), Next.js, React, Vue",v6,Classic,Yes,Existing,No,No,"Currently this page serves all JS-friendly platforms ; Blockswitcher for Angular, NextJS, ReactJS, VueJS, and JavaScript ; this should point to Samsara to highlight new way of starting for returning users."
Getting started,Project setup,N/A,Prerequisites,https://docs.amplify.aws/lib/project-setup/prereq/q/platform/ios/,https://docs.amplify.aws/swift/start/project-setup/prerequisites,src/pages/lib/project-setup/prereq/q/platform/[platform].mdx,src/pages/[platform]/start/project-setup/prerequisites/index.mdx,Swift,v2,Classic,No,Existing,No,No,
Getting started,Project setup,N/A,Create your application,https://docs.amplify.aws/lib/project-setup/create-application/q/platform/ios/,https://docs.amplify.aws/swift/start/project-setup/create-application,src/pages/lib/project-setup/create-application/q/platform/[platform].mdx,src/pages/[platform]/start/project-setup/create-application/index.mdx,Swift,v2,Classic,No,Existing,No,No,
